_d,_t,s0
1,4,.1525435677500116
1,2,.4994215203919197
1,4,.1525435677500116
1,4,.1525435677500116
1,3,.2686944276691817
1,1,.8200008869171143
1,3,.2686944276691817
1,2,.4994215203919197
1,1,.8200008869171143
1,1,.8200008869171143
1,7,.0434500146902635
1,2,.4994215203919197
1,3,.2686944276691817
1,2,.4994215203919197
1,4,.1525435677500116
1,3,.2686944276691817
1,3,.2686944276691817
1,4,.1525435677500116
1,5,.0999056309148384
1,2,.4994215203919197
1,2,.4994215203919197
1,1,.8200008869171143
1,1,.8200008869171143
1,4,.1525435677500116
1,6,.0672206415860186
1,2,.4994215203919197
1,1,.8200008869171143
1,3,.2686944276691817
1,2,.4994215203919197
1,3,.2686944276691817
1,5,.0999056309148384
1,2,.4994215203919197
1,9,.0240408355443541
1,4,.1525435677500116
1,6,.0672206415860186
1,4,.1525435677500116
1,3,.2686944276691817
1,2,.4994215203919197
1,1,.8200008869171143
1,2,.4994215203919197
1,3,.2686944276691817
1,7,.0434500146902635
1,3,.2686944276691817
1,1,.8200008869171143
1,5,.0999056309148384
1,17,.0033500352841117
1,2,.4994215203919197
1,2,.4994215203919197
1,3,.2686944276691817
1,2,.4994215203919197
1,2,.4994215203919197
1,2,.4994215203919197
1,14,.0065860174279487
1,3,.2686944276691817
1,3,.2686944276691817
1,4,.1525435677500116
1,4,.1525435677500116
1,1,.8200008869171143
1,2,.4994215203919197
1,3,.2686944276691817
1,3,.2686944276691817
1,4,.1525435677500116
1,3,.2686944276691817
1,2,.4994215203919197
1,2,.4994215203919197
1,4,.1525435677500116
1,3,.2686944276691817
1,2,.4994215203919197
1,6,.0672206415860186
1,2,.4994215203919197
1,3,.2686944276691817
1,2,.4994215203919197
1,5,.0999056309148384
1,1,.8200008869171143
1,2,.4994215203919197
1,2,.4994215203919197
1,3,.2686944276691817
1,9,.0240408355443541
1,2,.4994215203919197
1,2,.4994215203919197
1,5,.0999056309148384
1,9,.0240408355443541
1,1,.8200008869171143
1,3,.2686944276691817
1,2,.4994215203919197
1,10,.0205153906307397
1,2,.4994215203919197
1,7,.0434500146902635
1,3,.2686944276691817
1,3,.2686944276691817
1,2,.4994215203919197
1,3,.2686944276691817
1,2,.4994215203919197
1,2,.4994215203919197
1,1,.8200008869171143
1,7,.0434500146902635
1,4,.1525435677500116
1,4,.1525435677500116
1,13,.0095288900869876
1,3,.2686944276691817
1,4,.1525435677500116
1,5,.0999056309148384
1,2,.4994215203919197
1,1,.8200008869171143
1,2,.4994215203919197
1,1,.8200008869171143
1,4,.1525435677500116
1,5,.0999056309148384
1,15,.004864246110606
1,2,.4994215203919197
1,3,.2686944276691817
1,2,.4994215203919197
1,4,.1525435677500116
1,4,.1525435677500116
1,5,.0999056309148384
1,4,.1525435677500116
1,7,.0434500146902635
1,3,.2686944276691817
1,4,.1525435677500116
1,4,.1525435677500116
1,2,.4994215203919197
1,2,.4994215203919197
1,3,.2686944276691817
1,3,.2686944276691817
1,3,.2686944276691817
1,2,.4994215203919197
1,3,.2686944276691817
1,7,.0434500146902635
1,2,.4994215203919197
1,7,.0434500146902635
1,4,.1525435677500116
1,8,.0308492738238861
1,3,.2686944276691817
1,6,.0672206415860186
1,3,.2686944276691817
1,1,.8200008869171143
1,3,.2686944276691817
1,52,0
1,2,.4994215203919197
1,15,.004864246110606
1,1,.8200008869171143
1,3,.2686944276691817
1,2,.4994215203919197
1,4,.1525435677500116
1,1,.8200008869171143
1,4,.1525435677500116
1,2,.4994215203919197
1,8,.0308492738238861
1,3,.2686944276691817
1,5,.0999056309148384
1,5,.0999056309148384
1,4,.1525435677500116
1,2,.4994215203919197
1,1,.8200008869171143
1,5,.0999056309148384
1,3,.2686944276691817
1,21,.0020790291721154
1,4,.1525435677500116
1,3,.2686944276691817
1,1,.8200008869171143
1,2,.4994215203919197
1,6,.0672206415860186
1,8,.0308492738238861
1,3,.2686944276691817
1,2,.4994215203919197
1,6,.0672206415860186
1,6,.0672206415860186
1,4,.1525435677500116
1,11,.0165403779097123
1,2,.4994215203919197
1,8,.0308492738238861
1,2,.4994215203919197
1,8,.0308492738238861
1,2,.4994215203919197
1,1,.8200008869171143
1,3,.2686944276691817
1,4,.1525435677500116
1,2,.4994215203919197
1,3,.2686944276691817
1,2,.4994215203919197
1,3,.2686944276691817
1,3,.2686944276691817
1,1,.8200008869171143
1,3,.2686944276691817
1,7,.0434500146902635
1,2,.4994215203919197
1,3,.2686944276691817
1,4,.1525435677500116
1,1,.8200008869171143
1,2,.4994215203919197
1,2,.4994215203919197
1,4,.1525435677500116
1,12,.0128689611316929
1,5,.0999056309148384
1,5,.0999056309148384
1,2,.4994215203919197
1,9,.0240408355443541
1,4,.1525435677500116
1,21,.0020790291721154
1,1,.8200008869171143
1,10,.0205153906307397
1,2,.4994215203919197
1,3,.2686944276691817
1,5,.0999056309148384
1,2,.4994215203919197
1,4,.1525435677500116
1,3,.2686944276691817
1,5,.0999056309148384
1,2,.4994215203919197
1,4,.1525435677500116
1,3,.2686944276691817
1,15,.004864246110606
1,2,.4994215203919197
1,2,.4994215203919197
1,4,.1525435677500116
1,12,.0128689611316929
1,2,.4994215203919197
1,3,.2686944276691817
1,4,.1525435677500116
1,2,.4994215203919197
1,2,.4994215203919197
1,2,.4994215203919197
1,1,.8200008869171143
1,2,.4994215203919197
1,5,.0999056309148384
1,2,.4994215203919197
1,3,.2686944276691817
1,2,.4994215203919197
1,2,.4994215203919197
1,6,.0672206415860186
1,1,.8200008869171143
1,1,.8200008869171143
1,2,.4994215203919197
1,3,.2686944276691817
1,2,.4994215203919197
1,1,.8200008869171143
1,13,.0095288900869876
1,4,.1525435677500116
1,4,.1525435677500116
1,5,.0999056309148384
1,7,.0434500146902635
1,4,.1525435677500116
1,5,.0999056309148384
1,3,.2686944276691817
1,11,.0165403779097123
1,5,.0999056309148384
1,7,.0434500146902635
1,7,.0434500146902635
1,2,.4994215203919197
1,7,.0434500146902635
1,1,.8200008869171143
1,5,.0999056309148384
1,2,.4994215203919197
1,29,.0008589955259585
1,1,.8200008869171143
1,3,.2686944276691817
1,3,.2686944276691817
1,3,.2686944276691817
1,3,.2686944276691817
1,1,.8200008869171143
